employee_id,name,department,job_title,location,annual_salary_inr,years_experience,age,status,performance_rating,projects_completed,joining_year,manager_name,employment_type,primary_skills
10001,Rohan Gupta,Data Engineering,ETL Developer,Gurugram,1009003,2.1,23,Active,Needs Improvement,6,2021,Maya Sharma,Full Time,"Python, PySpark, AWS"
10002,Manish Rao,Operations,Process Analyst,Bengaluru,453503,13.6,26,On Leave,Meets Expectations,2,2011,Rahul Iyer,Full Time,"SQL, Power BI, Excel"
10003,Simran Desai,Data Engineering,Data Engineer,Bengaluru,2106900,13.6,39,Active,Needs Improvement,8,2019,Pooja Khan,Full Time,"Machine Learning, Python, Scikit-learn"
10004,Kabir Khan,Operations,Program Coordinator,Ahmedabad,1789569,8.1,41,Active,Meets Expectations,7,2026,Varun Mehta,Full Time,"Excel, SQL, Tableau"
10005,Maya Gupta,Cybersecurity,Security Analyst,Bengaluru,1972171,12.4,52,Notice Period,Good,3,2021,Rahul Nair,Full Time,"SQL, Power BI, Excel"
10006,Karan Gupta,Sales,Business Development Executive,Chennai,484200,3.2,26,Notice Period,Good,1,2022,Neha Shah,Contract,"Data Governance, SQL, Collibra"
10007,Pooja Gupta,Data Engineering,ETL Developer,Hyderabad,1591207,7.5,32,Active,Needs Improvement,8,2023,Dev Joshi,Full Time,"Python, SQL, Pandas"
10008,Kabir Sharma,Technology,AI Engineer,Delhi,2125391,5.6,38,Active,Meets Expectations,1,2014,Aditi Patel,Contract,"Excel, SQL, Tableau"
10009,Kavya Verma,Analytics,Data Analyst,Mumbai,2118776,8.3,25,On Leave,Meets Expectations,1,2021,Aditya Joshi,Full Time,"Data Governance, SQL, Collibra"
10010,Priya Sharma,Operations,Program Coordinator,Bengaluru,2303630,14.5,25,Notice Period,Very Good,6,2018,Tanvi Patel,Contract,"Python, SQL, Pandas"
10011,Riya Singh,Cybersecurity,Security Engineer,Bengaluru,2366214,10.0,39,Active,Good,3,2021,Varun Patel,Contract,"Python, PySpark, AWS"
10012,Kavya Sharma,Product,Product Operations Analyst,Bengaluru,1403660,10.2,43,Active,Meets Expectations,5,2024,Shreya Gupta,Full Time,"Python, PySpark, AWS"
10013,Maya Nair,Cybersecurity,IAM Analyst,Kolkata,1617229,2.5,53,Active,Needs Improvement,6,2018,Harsh Kapoor,Full Time,"SQL, Power BI, Excel"
10014,Kabir Verma,Human Resources,Talent Partner,Chennai,1004798,6.3,53,Active,Very Good,4,2011,Kabir Singh,Contract,"Java, Spring Boot, SQL"
10015,Rohan Kulkarni,Analytics,BI Analyst,Kolkata,1577600,2.4,55,Active,Meets Expectations,8,2023,Dev Sharma,Full Time,"LLM, RAG, LangChain, Python"
10016,Arjun Verma,Sales,Sales Manager,Hyderabad,2212321,7.8,29,On Leave,Excellent,8,2021,Manish Kapoor,Full Time,"Python, SQL, Pandas"
10017,Priya Mehta,Operations,Program Coordinator,Gurugram,1111665,5.7,49,Active,Very Good,3,2023,Shreya Sharma,Full Time,"AWS, Docker, Kubernetes"
10018,Yash Verma,Cybersecurity,IAM Analyst,Bengaluru,2245857,8.6,44,Active,Good,2,2019,Varun Khan,Contract,"Excel, SQL, Tableau"
10019,Meera Kapoor,Data Engineering,Data Platform Engineer,Gurugram,1076029,2.1,57,Notice Period,Good,4,2025,Aditya Khan,Full Time,"LLM, RAG, LangChain, Python"
10020,Neha Iyer,Product,Associate Product Manager,Noida,1500664,8.8,38,Active,Excellent,3,2014,Aarav Shah,Contract,"Risk Analysis, Excel, SQL"
10021,Riya Sharma,Technology,AI Engineer,Noida,1586472,2.6,44,Active,Needs Improvement,1,2025,Varun Verma,Contract,"Machine Learning, Python, Scikit-learn"
10022,Rahul Iyer,Product,Product Analyst,Gurugram,927263,10.5,25,Active,Good,3,2024,Priya Shah,Full Time,"LLM, RAG, LangChain, Python"
10023,Simran Desai,Data Engineering,Data Platform Engineer,Hyderabad,547771,4.4,31,Notice Period,Needs Improvement,4,2020,Pooja Khan,Full Time,"Java, Spring Boot, SQL"
10024,Ananya Joshi,Human Resources,HR Analyst,Ahmedabad,1592866,8.6,33,On Leave,Excellent,7,2024,Shreya Gupta,Full Time,"SQL, Power BI, Excel"
10025,Dev Mehta,Data Engineering,Data Platform Engineer,Gurugram,1534838,5.7,52,Active,Very Good,4,2018,Meera Rao,Full Time,"SQL, Power BI, Excel"
10026,Aarav Shah,Marketing,Marketing Analyst,Chennai,1596990,0.9,36,Notice Period,Meets Expectations,5,2016,Sneha Patel,Full Time,"Excel, SQL, Tableau"
10027,Tanvi Kulkarni,Finance,Financial Analyst,Bengaluru,1427053,3.8,35,On Leave,Meets Expectations,7,2017,Arjun Patel,Full Time,"Python, SQL, Pandas"
10028,Pooja Iyer,Human Resources,Talent Partner,Pune,714196,2.3,43,On Leave,Needs Improvement,1,2025,Varun Kulkarni,Full Time,"Excel, SQL, Tableau"
10029,Naina Sharma,Finance,Finance Manager,Pune,1516443,12.5,27,On Leave,Good,2,2017,Arjun Desai,Full Time,"Python, PySpark, AWS"
10030,Maya Khan,Sales,Account Executive,Mumbai,790925,11.9,26,Active,Excellent,2,2015,Neha Joshi,Full Time,"Java, Spring Boot, SQL"
10031,Meera Desai,Marketing,Marketing Analyst,Pune,1417488,10.6,29,Notice Period,Excellent,6,2025,Shreya Khan,Full Time,"Java, Spring Boot, SQL"
10032,Rahul Mehta,Finance,Finance Manager,Bengaluru,637491,10.3,39,Active,Meets Expectations,6,2018,Yash Sharma,Full Time,"Data Governance, SQL, Collibra"
10033,Naina Rao,Analytics,Data Analyst,Delhi,941725,2.3,21,On Leave,Needs Improvement,5,2024,Riya Kulkarni,Full Time,"Python, PySpark, AWS"
10034,Aditi Singh,Marketing,Marketing Analyst,Chennai,1107401,10.5,21,Active,Needs Improvement,1,2020,Rohan Shah,Contract,"Python, PySpark, AWS"
10035,Siddharth Khan,Product,Associate Product Manager,Pune,1988118,9.1,55,Active,Meets Expectations,2,2017,Kabir Iyer,Full Time,"AWS, Docker, Kubernetes"
10036,Nikhil Verma,Sales,Sales Manager,Kolkata,1592270,2.9,22,Active,Excellent,3,2017,Priya Desai,Full Time,"Python, PySpark, AWS"
10037,Aditya Patel,Product,Product Analyst,Pune,1207303,1.3,37,Active,Very Good,5,2024,Rohan Kapoor,Full Time,"Data Governance, SQL, Collibra"
10038,Simran Nair,Cybersecurity,Security Analyst,Pune,2371750,5.3,40,Active,Very Good,1,2013,Yash Patel,Contract,"SQL, Power BI, Excel"
10039,Yash Verma,Sales,Business Development Executive,Chennai,1863665,3.1,29,Active,Excellent,7,2017,Neha Verma,Full Time,"AWS, Docker, Kubernetes"
